t,r1x,r1y,r1z,v1x,v1y,v1z,r2x,r2y,r2z,v2x,v2y,v2z,f
0,2379.7399060915072,-4993.0286551886475,-4062.0220341334143,-3.0450237881783067,3.467092986885701,-6.051761041175316,3947.7971925745624,-5584.43302117613,-0.004451977930300247,0.7912991808036234,0.5544730148889898,7.573554613362579,4394.14947578504
187.3914772767211,1761.96564744684,-4240.433313605408,-5100.142472008156,-3.5245054901883806,4.536025938750469,-4.988123968584781,4008.829215686518,-5359.392068602042,1408.8459952096698,-0.14221956987485887,1.8384705733539193,7.407804941474241,6976.202079644841
374.7829545534422,1068.3416205444173,-3305.3024634157923,-5918.122960026207,-3.85172291580033,5.408385904101463,-3.710734022569245,3894.9295176696423,-4900.483922874321,2756.053086158122,-1.0688464257061456,3.041330763473455,6.918154166379311,9261.508144410016
562.1744318301633,328.77765723801093,-2228.048884409942,-6480.934209740694,-4.013107307169662,6.04754040650237,-2.2744842095835605,3611.2217297113825,-4227.925977167327,3982.77611294261,-1.9479221131356694,4.110402433488778,6.126731309690192,11147.33964639458
749.5659091068844,-424.91667906411413,-1055.04628148953,-6764.45346291634,-4.0020015741589905,6.426684926266068,-0.740490476646348,3170.2551305560364,-3371.2504726213147,5035.584587622481,-2.741151588418076,4.999285904233544,5.068889445222915,12551.133820889165
936.9573863836056,-1160.3450140927441,163.29889783770392,-6756.408643177577,-3.8188114631137444,6.529706097475762,0.8262889501552138,2591.4005088649064,-2367.941493020209,5868.770698390499,-3.4142817586946945,5.669799412342431,3.791352008680104,13411.857656271954
1124.3488636603265,-1845.8468863266862,1374.607278297056,-6456.874220557934,-3.4709631467780597,6.351728943426384,2.35945172532019,1899.9578648023205,-1261.7498300909956,6446.2721223690805,-3.9384907052612745,6.093445632655028,2.3499400787411338,13692.064036642527
1311.7403409370477,-2451.7960870518073,2526.6625471668435,-5878.314452267216,-2.9726867974657614,5.899384903949013,3.7935832296704244,1126.0331600809552,-100.77980135699424,6743.145103374071,-4.291462711107222,6.2523840507661355,0.8070723394018643,13379.295823440927
1499.1318182137688,-2951.8410014230158,3569.5704119783213,-5045.164776805686,-2.344611752606279,5.19078542220285,5.0667543590794475,303.24175829564183,1064.564208111832,6746.5592396176935,-4.4581672643654136,6.139965643151585,-0.7708220921126901,12486.607831333664
1686.52329549049,-3324.0480093365704,4457.879502436351,-3992.9384612549097,-1.613131256604761,4.255132273052085,6.123086951524012,-532.7093857576052,2183.695922085097,6456.305142981858,-4.431379393008017,5.76089791660649,-2.315908240152984,11052.156991705553
1873.9147727672112,-3551.900203548348,5152.587232274045,-2766.85120131447,-0.8094871688032301,3.131865499508622,6.915319911288069,-1345.5152432330601,3207.9652873509776,5884.81336515343,-4.211969743157724,5.131082746973261,-3.7615562225737524,9137.887549781846
2061.3062500439323,-3625.0958514141375,5622.935548382244,-1419.9763978616663,0.03145534313533908,1.8692608084971245,7.407226139200226,-2099.799153139846,4092.7154886490725,5056.682395241211,-3.8089633451419855,4.277122871137044,-5.04496965462062,6827.533417805662
2248.697727320653,-3540.0891598670937,5847.889539594003,-10.978253506061199,0.8727286795299674,0.5224446977122578,7.575664656273066,-2762.6259669532405,4799.212825536895,4007.713102268443,-3.2393317233901633,3.235449698102737,-6.109818342249101,4225.4055521237415
2436.089204597374,-3300.323718850747,5817.193698225348,1398.487152673808,1.677007559632009,-0.8491150155239663,7.412032194103414,-3304.9467976391616,5296.372528827434,2783.454788489777,-2.5274617839537146,2.051008610702942,-6.908800704684035,1479.6659810944395
2623.4806818740954,-2916.127398926351,5531.920319297689,2746.571124937321,2.4084537404745348,-2.184489027190562,6.922918390047481,-3702.909731239998,5562.193228458095,1437.288859611655,-1.704250013473544,0.7754614053656765,-7.4059877371558684,1527.796759312653
2810.8721591508165,-2404.2639241202587,5004.460755093746,3974.071312448074,3.0345071078109362,-3.424309255916613,6.1298624343674275,-3938.9640469710325,5584.810451770078,28.109411312021372,-0.8058053332394076,-0.5350731952822693,-7.5787460344558255,4273.491027570754
2998.2636364275377,-1787.1654889563415,4257.956299559916,5027.141551368998,3.5274728192834495,-4.5136808872172764,5.068230951534809,-4002.6873874562416,5363.090915019247,-1382.3004170757436,0.12819969194661082,-1.8226382798699097,-7.419028755069612,6871.0120177365325
3185.655113704259,-1091.896267131448,3325.211387233504,5859.718502668654,3.865789509413057,-5.404759189689305,3.7853508717745967,-3891.278493981765,4906.715945147365,-2732.061492186422,1.0564287428927284,-3.0302383781873425,-6.933871147818983,9173.678705879101
3373.04659098098,-348.9133250743285,2247.1678362966422,6435.543951215337,4.034918766905279,-6.058838960578317,2.3381040008921468,-3609.6815828237613,4235.740525070106,-3962.003917875121,1.9378866199323774,-4.104597907599252,-6.145021846486634,11076.824123335602
3560.438068257701,409.30278776644093,1071.039060263162,6729.703032801297,4.027852440621782,-6.4478937815759085,0.7902048504422912,-3170.3378013674005,3379.656541631574,-5018.324953649896,2.733867771396613,-4.9986600349318495,-5.087755746800403,12496.38759774579
3747.8295455344223,1149.679097987948,-151.79275601852066,6729.637527407182,3.845274052593879,-6.5555777569169855,-0.7906546564339093,-2592.588144986061,2376.025744291539,-5854.95857701575,3.4097068598775335,-5.673657553729487,-3.8090146186208496,13370.358618967664
3935.221022811143,1839.9828943265754,-1368.0205201831207,6435.621726382333,3.495423939668623,-6.377741566932247,-2.3356760580824774,-1901.774699799517,1268.7723695074903,-6435.549260658977,3.936236704316625,-6.100666444479868,-2.3650787645495637,13660.910263008729
4122.612500087864,2450.2046492242057,-2524.7113839845942,5860.704078637101,2.993706505045221,-5.922511938476041,-3.77778444860671,-1128.0994628457893,106.23431783753934,-6734.961684678624,4.290916163447281,-6.261634092134036,-0.8189743278529023,13355.782703591629
4310.003977364586,2953.8447335614824,-3571.581875518365,5030.124690213181,2.3620540362045506,-5.209951646634746,-5.054390568008888,-305.3022145855458,-1060.9326829477234,-6740.2927045959,4.458638372767382,-6.149931608684893,0.7622257174489105,12468.685730492847
4497.395454641306,3329.0579463202766,-4463.169082908604,3980.224297050967,1.6280413057524104,-4.271280305728122,-6.1100444664761255,530.7857292778663,-2181.9151657321095,-6451.375102939364,4.432253432526433,-5.770497933288058,2.3101182440047427,11038.691628865407
4684.786931918028,3559.6080357089468,-5160.811954243781,2756.8719457803486,0.8237422284757137,-3.1476195560601643,-6.8988948278164814,1343.7614285540478,-3207.894810481222,-5880.773184803722,4.212834780417998,-5.13962317135025,3.757675971889065,9128.678708265743
4872.178409194748,3635.5842165337485,-5634.350985967222,1413.4600840638273,-0.01566063565409488,-1.8882448099058209,-7.38681532023329,2098.196682142522,-4094.1277325584433,-5053.272502171011,3.8096924397560286,-4.2843761778796,5.041939597702988,6823.084232450468
5059.5698864714695,3553.8370863686446,-5863.455835655044,8.545481412413817,-0.8534661417459012,-0.5483784070081325,-7.553028301657105,2761.1612024794695,-4801.880686412497,-4004.8677815592077,3.240105006988301,-3.2416414499040274,6.106672698611658,4226.436190667658
5246.961363748191,3318.1043377381616,-5838.503710583181,-1396.754019195727,-1.6531555838355838,0.8133704379853178,-7.391067373508298,3303.6655844321867,-5300.146252724855,-2781.262389343601,2.528723567841959,-2.056716285632594,6.904900122109315,1485.5640871528337
5434.352841024912,2938.8164641776198,-5560.9576726894375,-2741.472109017307,-2.3800863576522837,2.137749686926968,-6.908977602779428,3701.9584555178467,-5567.051542061085,-1435.9138956957356,1.7066074968664167,-0.7814434486524989,7.401184121759642,1512.251659798084
5621.744318301633,2432.5958648014603,-5043.22958490548,-3967.470616430469,-3.003053240541565,3.3675891737053982,-6.12874180319005,3938.6075680049353,-5590.875471186545,-27.692515466558007,0.8098868080367788,0.5280860294439217,7.5734464955280565,4253.215107631074
